,doc_url,name,bulletin,topic,commission
791_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/166-4-c-Iniciativa-Convencional-del-cc-Felipe-Harboe-sobre-Cláusula-de-limitación-de-DDFF.pdf,Iniciativa Convencional Constituyente que establece la cláusula general de limitación al ejercicio de los derechos y libertades constitucionales,Boletín 166-4,Limitación ejercicio de derechos y libertades constitucionales,Comisión de Derechos Fundamentales
793_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/164-4-c-Iniciativa-del-cc-Jorge-Arancibia-Reconocimiento-y-Tratamiento-del-Agua.pdf,Iniciativa Convencional Constituyente que declara a las aguas como bienes nacionales de uso público y consagra el derecho humano al agua y al saneamiento,Boiletín 164-4,Derecho humano al agua,Comisión de Derechos Fundamentales
795_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/162-4-c-Iniciativa-de-la-cc-Rocio-Cantuarias-Derecho-a-la-Vida.pdf,Iniciativa Convencional Constituyente que consagra el derecho a la vida y a la integridad física y psíquica de la persona,Boletín 162-4, Derecho a la vida y a la integridad física y psíquica de la persona,Comisión de Derechos Fundamentales
797_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/160-4-c-Iniciativa-de-la-cc-Valentina-Miranda-sobre-contenido-de-los-Derechos-Fundamentales.pdf,Iniciativa Convencional Constituyente que establece el estatuto de los derechos fundamentales reconocidos por la Constitución,Boletín 160-4,Estatuto derechos fundamentales,Comisión de Derechos Fundamentales
799_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/158-7-c-Iniciativa-del-cc-Martin-Arrau-Educacion-Civica.pdf,Iniciativa Convencional Constituyente que impone al Estado el deber de fomentar el desarrollo de la educación cívica y los saberes de la ciencia y la justicia,Boletín 158-7,Deber del Estado de fomentar desarrollo de educación cívica y los saberes de la ciencia y la justicia,Comisión sobre Sistemas de Conocimientos
802_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/154-3-c-Iniciativa-del-cc-Felipe-Mena-sobre-Organizacion-Territorial-del-Estado.pdf,Iniciativa Convencional Constituyente que establece la organización territorial del Estado,Boletín 154-3,Organización territorial del Estado,Comisión de Forma de Estado
804_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/151-3-c-Iniciativa-de-la-cc-Angelica-Tepper-Competencias-de-los-Gobiernos-Regionales.pdf,"Iniciativa Convencional Constituyente que fija las competencias de los gobeirnos regionale sy locales, establece reglas para transferencia de competencias desde el gobierno central y para la solución de las contiendas de competencia entre los diversos niveles",Boletín 151-3,Competencias de gobiernos regionales y locales,Comisión de Forma de Estado
806_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/148-4-c-Iniciativa-del-cc-Manuel-Jose-Ossandon-Derecho-a-la-Vida.pdf,Iniciativa Convencional Constituyente que consagra el derechos a la vida y a la integridad física y psíquica,Boletín 148-4,Derecho a la vida,Comisión de Derechos Fundamentales
808_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/146-4-c-Iniciativa-del-cc-Manuel-Jose-Ossandon-Libertad-de-asociacion-y-derecho-a-la-sindicalizacion.pdf,Iniciativa Convencional Constituyente que consagra las libertades de asociación y sindicalización,Boletín 146-4,Libertades Asociación y sindicalización,Comisión de Derechos Fundamentales
810_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/144-4-c-Iniciativa-de-la-cc-Rocio-Cantuarias-Sobre-el-Derecho-de-Propiedad.pdf,"Iniciativa Convencional Constituyente consagra el derecho de propiedad privada, la libertad de adquirir toda clase de bienes y el derecho a la libre creación intelectual, artística y científica",Boletín 144-4,"Derecho de propiedad privada, libertad adquirir toda clase de bienes, y derecho a libre creación intelectual, artística y científica",Comisiones de Derechos Fundamentales y de Sistemas de Conocimientos
801_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/156-6-c-Iniciativa-del-cc-Manuel-Woldarsky-Incorpora-principios-al-acceso-a-la-Jurisdiccion.pdf,Iniciativa Convencional Constituyente que exige del Estado la garantía de pleno acceso a la justicia,Boletín 156-6,Garantía de pleno acceso a la  justicia,Comisión sobre Sistemas de Justicia
803_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/152-4-c-Iniciativa-del-cc-Bernardo-Fontaine-sobre-Derecho-de-propiedad.pdf,Iniciativa Convencional Constituyente que consagra el derecho de propiedad y la libertad para adquirir el dominio sobre roda clase de bienes y creaciones intelectuales o artísticas y de transferirlo o transmitirlo,Boletín 152-4," Derecho de propiedad, libertad para adquirir dominio sobre toda clase de bienes y creaciones intelectuales o artísticas ",Comisión de Derechos Fundamentales
805_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/149-7-c-Iniciativa-de-la-cc-Angelica-Tepper-Derecho-al-Descanso.pdf,"Iniciativa Convencional Constituyente que reconoce el derecho al descanso, al ocio y al disfrute del tiempo libre",Boletín 149-7,"Derecho al descanso, al ocio y al disfrute del  tiempo libre",Comisión Sobre Sistemas de Conocimientos
807_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/147-4-c-Iniciativa-del-cc-Manuel-Jose-Ossandon-Garantias-Procesales-y-Seguridad-Individual.pdf,"Iniciativa Convencional Constituyente que consagra el derecho a la libertad personal, la seguridad individual y al debido proceso y tutela judicial efectiva",Boletín 147-4," Derecho a la libertad personal, seguridad  individual, debido proceso y tutela judicial  efectiva",Comisión de Derechos Fundamentales
809_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/145-4-c-Iniciativa-del-cc-Manuel-Jose-Ossandon-libertad-de-Conciencia-Expresion-y-de-Ensenanza.pdf,"Iniciativa Convencional Constituyente que consagra las libertades de conciencia y religión, de expresión y de enseñanza",Boletín 145-4,"Libertades de conciencia y religión, de expresión  y de enseñanza.",Comisión de Derechos Fundamentales
812_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/142-4-c-Iniciativa-de-la-cc-Rocio-Cantuarias-Reconoce-y-Asegura-la-Libertad-de-Expresion.pdf,"Iniciativa Convencional Constituyente que consagra las libertades de opinión, de expresión, de información y de prensa",Boletín 142-4,"Libertades de opinión, expresión, información y prensa",Comisión de Derechos Fundamentales
814_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/140-4-c-Iniciativa-de-la-cc-Rocio-CantuariasLimitaciones-de-los-Derechos-Fundamentales.pdf,Iniciativa Convencional Constituyente que asegura la no afectación de los derechos y garantías fundamentales en su esencia,Boletín 140-4,No afectación derechos y garantías,Comisión de Derechos Fundamentales
816_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/138-4-c-Iniciativa-de-la-cc-Rocio-Cantuarias-Establece-la-igualdad-de-acceso-a-cargos-publicos.pdf,Iniciativa Convencional Constituyente que consagra el derecho de admisión a las funciones y empleos públicos,Boletín 138-4,Derecho de admisión a funciones y empleos públicos,Comisión de Derechos Fundamentales
818_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/136-4-c-Iniciativa-de-la-cc-Rocio-Cantuarias-Derecho-Humano-al-Agua-y-al-Saneamiento.pdf,Iniciativa Convencional Constituyente que consagra el derecho humano al agua y al saneamiento,Boletín 136-4,Derecho humano al agua,Comisión de Derechos Fundamentales
820_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/134-4-c-Iniciativa-de-la-cc-Rocio-Cantuarias-Establece-la-libertad-de-ejercer-actividades-economicas-1.pdf,Iniciativa Convencional Constituyente que consagra el derecho a desarrollar cualquier actividad económica y regula el rol del Estado empresario,Boletín 134-4,Desarrollar actividad económica, Comisión de Derechos Fundamentales
811_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/143-4-c-Iniciativa-de-la-cc-Rocio-Cantuarias-Incorpora-Libertad-de-Trabajo-y-Sindical.pdf,"Iniciativa Convencional Constituyente que consagra el derecho y la libertad de trabajo, la libertad sindical, el derecho a la negociación colectiva y a la huelga",Boletín 143-4,"Derecho y libertad de trabajo, libertad sindical, negociación colectiva y huelga",Comisión de Derechos Fundamentales
813_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/141-4-c-Iniciativa-de-la-cc-Rocio-Cantuarias-Incorpora-la-Libertad-de-asociacion.pdf,Iniciativa Convencional Constituyente que consagra el derecho a la libre asociación,Boletín 141-4,Libertad de asociación,Comisión de Derechos Fundamentales
815_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/139-4-c-Iniciativa-de-la-cc-Rocio-Cantuarias-Incorpora-del-Derecho-de-Peticion.pdf,Iniciativa Convencional Constituyente que consagra el derecho de petición ante la autoridad pública,Boletín 139-4,Derecho de petición,Comisión de Derechos Fundamentales
817_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/137-4-c-Iniciativa-de-la-cc-Rocio-Cantuarias-Establece-el-Derecho-al-Acceso-a-la-Informacion-Publica.pdf,Iniciativa Convencional Constituyente que consagra el derecho de acceso a la información pública,Boletín 137-4,Derecho a acceso información pública,Comisión de Derechos Fundamentales
819_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/135-4-c-Iniciativa-de-la-cc-Rocio-Cantuarias-Sobre-Seguridad-Social.pdf,Iniciativa Convencional Constituyente que consagra el derecho a la seguridad social,Boletín 135-4,Derecho a seguridad social,Comisión de Derechos Fundamentales
822_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/132-4-c-Iniciativa-de-la-cc-Rocio-Cantuarias-Asegura-la-Libertad-de-Conciencia.pdf,"Iniciativa Convencional Constituyente que consagra la libertad de conciencia, religión y culto",Boletín 132-4,"Libertad de conciencia, religión y culto",Comisión de Derechos Fundamentales
824_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/130-4-c-Iniciativa-de-la-cc-Rocio-Cantuarias-Incorpora-obligaciones-del-Estado.pdf,Iniciativa Convencional Constituyente que establece derechos del administrado frente a la administración pública /RETIRADA,Boletín 130-4,Derechos administrado frente a administración Pública,Comisión de Derechos Fundamentales
826_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/128-4-c-Iniciativa-de-la-cc-Rocio-Cantuarias-Incorpora-una-Garantia-Procesal-en-los-procesos-judiciales.pdf,Iniciativa Convencional Constituyente que consagra el derecho al debido proceso,Boletín 128-4,Derecho a debido proceso,Comisión de Derechos Fundamentales
828_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/126-4-c-Iniciativa-de-la-cc-Rocio-Cantuarias-asegura-la-libertad-de-eleccion-en-prestaciones-de-salud.pdf,Iniciativa Convencional Constituyente que consagra el derecho al acceso a las prestaciones de salud,Boletín 126-4,Derecho a acceso prestaciones de salud,Comisión de Derechos Fundamentales
830_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/124-4-c-Iniciativa-del-cc-Bernardo-Fontaine-Derecho-a-Emprender.pdf,Iniciativa Convencional Constituyente que consagra el derecho a desarrollar cualquier actividad económica y promueve la libre competencia,Boletín 124-4,Desarrollo Actividad Económica,Comisión de Derechos Fundamentales
821_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/133-4-c-Iniciativa-de-la-cc-Rocio-Cantuarias-Incorpora-la-Libertad-de-Reunion.pdf,Iniciativa Convencional Constituyente que consagra la libertad de reunión o manifestación,Boletín 133-4,Libertad de reunión y manifestación, Comisión de Derechos Fundamentales
823_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/131-4-c-Iniciativa-de-la-cc-Rocio-Cantuarias-Establece-la-Libertad-Personal-y-la-Seguridad-Individual.pdf,Iniciativa Convencional Constituyente que consagra el derecho a la libertad personal y a la seguridad individual,Boletín 131-4,Derecho a la libertad personal,Comisión de Derechos Fundamentales
825_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/129-4-c-Iniciativa-de-la-cc-Rocio-Cantuarias-Derecho-de-Acceso-a-la-Vivienda.pdf,Iniciativa Convencional Constituyente que consagra el derecho a la vivienda,Boletín 129-4,Derecho a la vivienda,Comisión de Derechos Fundamentales
827_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/127-4-c-Iniciativa-de-la-cc-Rocio-Cantuarias-Derecho-a-la-eduacion-y-libertad-de-ensenanza.pdf,Iniciativa Convencional Constituyente que consagra el derecho a la educación y garantiza la libertad de enseñanza,Boletín 127-4,Derecho a la educación y libertad de enseñanza,Comisión de Derechos Fundamentales
829_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/125-4-c-Iniciativa-de-la-cc-Rocio-Cantuarias-establece-la-inviolabilidad-del-hogar.pdf,Iniciativa Convencional Constituyente que reconoce y asegura la inviolabilidad del hogar y de las comunicaciones,Boletín 125-4,Inviolabilidad del hogar,Comisión de Derechos Fundamentales
832_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/122-3-c-Iniciativa-de-la-cc-Jennifer-Mella-Forma-del-Estado.pdf,Iniciativa Convencional Constituyente que regula el gobierno regional y las competencias de las autoridades regionales,Boletín 122-3,Gobierno Regional,Comisión de Forma de Estado
834_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/119-3-c-Iniciativa-de-la-cc-Tammy-Pustilnick-competencias-de-las-Regiones-Autonomas.pdf,Iniciativa Convencional Constituyente que establece la autonomía regional y las competencias y atribuciones de autoridades regionales,Boletín 119-3,Autonomía regional,Comisión de Forma de Estado
836_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/117-3-c-Iniciativa-del-cc-Bastian-Labbe-sobre-Asamblea-Social-Regional.pdf,Iniciativa Convencional Constituyente que establece la Asamblea Social Regional,Boletín 117-3,Asamblea social regional,Comisión de Forma de Estado
838_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/115-5-c-Iniciativa-del-cc-Francisco-Caamano-Proteccion-del-Bosque-Nativo.pdf,Iniciativa Convencional Constituyente sobre protección del bosque nativo,Boletín 115-5,Bosque Nativo,Comisión sobre Medio Ambiente
840_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/113-5-c-Iniciativa-del-cc-Elsa-Labrana-sobre-Soberania-Alimentaria.pdf,Iniciativa Convencional Constituyente que reconoce el derecho a la soberanía alimentaria,Boletín 113-5,Derecho a soberanía alimentaria,Comisión sobre Medio Ambiente
831_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/123-2-c-Iniciativa-de-la-cc-Carolina-Vilches-Principio-Precautorio-1.pdf,"Iniciativa Convencional Constituyente que incorpora el principio precautorio para la protección del medio ambiente, la biodiversidad de los ecosistemas y la salud pública",Boletín 123-2,Protección Medio Ambiente,Comisión sobre Principios Constitucionales
833_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/120-3-c-Iniciativa-de-la-cc-Tammy-Pustilnick-atribuciones-exclusivas-de-la-Asamblea-Regional.pdf,Iniciativa Convencional Constituyente que establece el estatuto regional y regula las atribuciones de gobierno y legislación regional,Boletín 120-3,Estatuto regional,Comisión de Forma de Estado
835_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/118-3-c-Iniciativa-del-cc-Cristobal-Andrade-Regiones-Autonomas.pdf,"Iniciativa Convencional Constituyente que regula el gobierno regional, las competencias de las regiones autónomas y el rol de la Asamblea Social Regional",Boletín 118-3,Gobierno regional,Comisión de Forma de Estado
837_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/116-1-c-Iniciativa-de-la-cc-Alondra-Carrillo-Democracia-Paritaria.pdf,Iniciativa Convencional Constituyente que establece pautas sobre democracia paritaria,Boletín 116-1,Democracia paritaria,Comisiones sobre Sistema Político y Principios Constitucionales
839_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/114-4-c-Iniciativa-del-cc-Eduardo-Castillo-sobre-El-Derecho-a-las-Aguas.pdf,Iniciativa Convencional Constituyente que declara al agua como un bien nacional de uso público y garantiza el acceso a ella,Boletín 114-4,Agua como bien de uso público,Comisión de Derechos Fundamentales
842_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/111-1-c-Iniciativa-del-cc-Jorge-Arancibia-Fuerzas-Armadas-de-Orden-y-Seguridad.pdf,Iniciativa Convencional Constituyente que establece el rol de las Fuerzas Armadas y de Orden y Seguridad,Boletín 111-1,Rol FFAA y de Orden y Seguridad,Comisión sobre Sistema Político
844_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/109-4-c-Iniciativa-de-la-cc-Geoconda-Navarrete-Derecho-a-una-buena-Administracion-Publica.pdf,Iniciativa Convencional Constituyente que consagra el derecho a una buena administración pública,Boletín 109-4,Derecho a buena administración pública,Comisión de Derechos Fundamentales
846_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/107-4-c-Iniciativa-de-la-cc-Giovanna-Grandon-Derecho-al-Trabajo.pdf,Iniciativa Convencional Constituyente que consagra el derecho al trabajo y regula su ejercicio y protección,Boletín 107-4,Derecho al trabajo,Comisión de Derechos Fundamentales
848_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/105-7-c-Iniciativa-del-cc-Miguel-Angel-Botto-cultura-y-patrimonio.pdf,Iniciativa Convencional Constituyente que consagra y garantiza el ejercicio y acceso a los derechos culturales y linguísticos,Boletín 105-7,Ejercicio derechos culturales y lingüísticos,Comisión sobre Sistemas de Conocimientos
850_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/103-4-c-Iniciativa-del-cc-Alfredo-Moreno-Titularidad-de-los-Derechos-Fundamentales.pdf,Iniciativa Convencional Constituyente que radica en las personas la titularidad de los derechos fundamentales y garantías constitucionales reconocidas por la Constitución y los Tratados Internacionales,Boletín 103-4,Titularidad derechos fundamentales,Comisión de Derechos Fundamentales
841_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/112-4-c-Iniciativa-del-cc-Francisco-Caamano-sobre-Derecho-y-Seguridad-Alimentaria.pdf,Iniciativa Convencional Constituyente que consagra el derecho al sustento alimenticio,Boletín 112-4,Derecho a sustento alimenticio,"Comisiones de Principios Constitucionales, de Derechos Fundamentales y de Sistemas de Justicia"
843_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/110-4-c-Iniciativa-de-la-cc-Giovanna-Grandon-Derecho-a-Huelga.pdf,Iniciativa Convencional Constituyente que consagra el derecho a huelga y garantiza su ejercicio efectivo,Boletín 110-4,Derecho a huelga,Comisión de Derechos Fundamentales
845_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/108-4-c-Iniciativa-de-la-cc-Giovanna-Grandon-Derecho-a-la-Sindicalizacion.pdf,Iniciativa Convencional Constituyente que consagra el derecho a sindicalización y proscribe las prácticas antisindicales,Boletín 108-4,Derecho a sindicalización,Comisión de Derechos Fundamentales
847_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/106-7-c-Iniciativa-del-cc-Alexis-Caiguan-Herencia-cultural-Memorias-e-historicidades.pdf,"Iniciativa Convencional Constituyente sobre derechos de los pueblos a su herencia cultural, memorias e historicidades",Boletín 106-7,Derecho de los pueblos a herencia cultural,Comisión sobre Sistemas de Conocimientos
849_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/104-4-c-Iniciativa-del-cc-Alfredo-Moreno-Clausula-de-obligaciones-generales.pdf,"Iniciativa Convencional Constituyente que impone al Estado la obligación de respeto a las libertades, derechos y garantías reconocidas en la Constitución y en Tratados Internacionales de Derechos Humanos",Boletín 104-4,"Obligación del Estado de respeto a libertades, derechos y garantrías",Comisión de Derechos Fundamentales
852_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/101-4-c-Iniciativa-del-cc-Alfredo-Moreno-Garantias-Constitucionales.pdf,Iniciativa Convencional Constituyente que consagra el respeto por los derechos fundamentales y garantías constitucionales reconocidas por la Constitución y los Tratados Internacionales,Boletín 101-4,Respeto derechos y garantías,Comisión de Derechos Fundamentales
854_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/99-3-c-Iniciativa-de-la-cc-Tammy-Pustilnick-Disposiciones-del-Estado-Regional.pdf,Iniciativa Convencional Constituyente que establece bases del Estado Regional integrado por regiones autónomas,Boletín 99-3,Bases Estado regional,Comisión de Forma de Estado
856_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/98-6-Iniciativa-del-cc-Ruggero-Cozzi-Funcion-y-Principios-de-la-Jurisdiccion.pdf,"Iniciativa Convencional Constituyente sobre función jurisdiccional, regulación orgánica y funcional",Boletín 98-6,Función jurisdiccional,Comisión sobre Sistemas de Justicia
858_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/96-6-Iniciativa-del-cc-Felipe-Harboe-Defensoria-Penal-Publica.pdf,Iniciativa Convencional Constituyente que crea la Defensoría Penal Pública como órgano autónomo,Boletín 96-6,Defensoría Penal Pública,Comisión sobre Sistemas de Justicia
860_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/94-1-Iniciativa-de-la-cc-Rosa-Catrileo-Establece-el-reconocimiento-de-los-Pueblos-Indigenas-2.pdf,"Iniciativa Convencional Constituyente sobre el reconocimiento constitucional de los pueblos indígenas, estado plurinacional y libre determinación de los pueblos",Boletín 94-1,Reconocimiento de los pueblos indígenas,Comisión sobre Sistema Político
851_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/102-4-c-Iniciativa-del-cc-Alfredo-Moreno-Fines-de-los-Derechos-Fundamentales.pdf,"Iniciativa Convencional Constituyente que establece la finalidad de las libertades, derechos y garantías reconocidas por la Constitución",Boletín 102-4,"Finalidad libertades, derechos y garantías",Comisión de Derechos Fundamentales
853_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/100-7-c-Iniciativa-del-cc-Francisco-Caamano-Derecho-al-Acceso-y-a-la-Conectividad-Digital.pdf,Iniciativa Convencional Constituyente que establece el acceso y conectividad digital,Boletín 100-7,Conectividad digital,Comisión sobre Sistemas de Conocimientos
855_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/150-7-c-Iniciativa-de-la-cc-Angelica-Tepper-Obligaciones-del-Estado-en-Materias-de-Culturas-y-Conocimientos.pdf,"Iniciativa Convencional Constituyente que regula el rol del Estado en conocimientos, culturas, ciencia, tecnología, comunicaciones, artes, patrimonios y humanidades, y asegura la democratización y acceso a los conocimientos, culturas, ciencia, tecnología, comunicaciones, artes, patrimonios y humanidades",Boletín 150-7,"Rol del estado en conocimientos, culturas, ciencia, tecnología, comunicaciones, artes,  patrimonios y humanidades",Comisión sobre Sistemas de Conocimientos
857_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/97-6-Iniciativa-del-cc-Daniel-Bravo-Sistemas-de-Justicia.pdf,Iniciativa Convencional Constituyente sobre ejercicio y regulación de la función jurisdiccional,Boletín 97-6,Función Jurisidiccional,Comisión sobre Sistemas de Justicia
859_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/95-6-Iniciativa-Convencional-Constituyente-de-Cc-Mauricio-Daza-y-otros-2.pdf,Iniciativa Convencional Constituyente que establece el Consejo Supremo de Justicia,Boletín 95-6,Consejo Supremo de Justicia,Comisión sobre Sistemas de Justicia
862_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/92-7-Iniciativa-del-cc-Francisco-Caamano-Derecho-a-la-Alfabetizacion-Digital-2.pdf,Iniciativa Convencional Constituyente que reconoce el derecho a la alfabetización digital,Boletín 92-7,Derecho a la alfabetización digital,Comisión sobre Sistemas de Conocimientos
864_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/90-6-Iniciativa-Convencional-Constituyente-del-cc-Tomas-Laibe-y-otros.pdf,Iniciativa Convencional Constituyente que establece normas sobre Poder judicial y función jurisdiccional,Boletín 90-6,Poder Judicial,Comisión sobre Sistemas de Justicia
866_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/88-6-Iniciativa-Convencional-Constituyente-del-cc-Christian-Viera-y-otros.pdf,Iniciativa Convencional Constituyente sobre función jurisdiccional,Boletín 88-6,función jurisdiccional,Comisión sobre Sistemas de Justicia
868_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/86-2-Iniciativa-Convencional-Constituyente-del-cc-Luciano-Silva-y-otros.pdf,Iniciativa Convencional Constituyente sobre familia e infancia en la nueva constitución,Boletín 86-2,Familia e Infancia,Comisión sobre Principios Constitucionales
870_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/84-2-Iniciativa-Convencional-Constituyente-del-cc-Martin-Arrau-y-otros.pdf,Iniciativa Convencional Constituyente que establece un conjunto de principios y deberes del Estado,Boletín 84-2,Principios y deberes del Estado,Comisión sobre Principios Constitucionales
861_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/93-7-Iniciativa-del-cc-Francisco-Caamano-Derecho-al-acceso-y-a-la-Conectividad-Digital.pdf,Iniciativa Convencional Constituyente sobre el derecho al acceso y a la conectividad digital,Boletín 93-7,Derecho a la conectividad digital,Comisión sobre Sistemas de Conocimientos 
863_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/91-3-Iniciativa-del-cc-Wilfredo-Bacian-que-establece-la-Forma-de-Estado-Regional-2.pdf,"Iniciativa Convencional Constituyente que establece una forma de estado regional, plurinacional e intercultural, descentralizado y con autonomías territoriales indígenas",Boletín 91-3,Estado regional,Comisión sobre Forma de Estado
865_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/89-6-Iniciativa-Convencional-Constituyente-del-cc-Christian-Viera-y-otros.pdf,Iniciativa Convencional Constituyente sobre Justicia constitucional,Boletín 89-6,Justicia constitucional,Comisión sobre Sistemas de Justicia
867_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/87-7-Iniciativa-Convencional-Constituyente-de-la-cc-Loreto-Vidal-y-otros.pdf,Iniciativa Convencional Constituyente que crea el Consejo Nacional de Bioética,Boletín 87-7,Consejo Nacional de Bioética,Comisión sobre Sistemas de Conocimientos
869_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/85-3Iniciativa-del-cc-Martin-Arrau-Principios-y-Cargas-Tributarias.pdf,Iniciativa Convencional Constituyente sobre principios y derechos en materia tributaria y cargas públicas y sobre el trato del Estado y sus organismos en materia económica,Boletín 85-3,Cargas públicas,Comisión sobre Forma de Estado
872_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/82-1-Iniciativa-Convencional-Constituyente-del-cc-Martin-Arrau-y-otros.pdf,Iniciativa Convencional Constituyente sobre composición y estructura del Congreso Nacional,Boletín 82-1,Congreso Nacional,Comisión sobre Sistema Político
874_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/80-2-Iniciativa-de-la-cc-Lorena-Cespedes-y-otros.pdf,Iniciativa Convencional Constituyente sobre desarrollo integral,Boletín 80-2,Desarrollo integral,Comisión sobre Principios Constitucionales
876_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/78-5-Iniciativa-del-cc-Nicolas-Nulnez-y-otro.pdf,Iniciativa Convencional Constituyente sobre derecho de acceso a la montaña y uso de senderos ancestrales,Boletín 78-5,Acceso a la montaña,Comisión sobre Medio Ambiente
878_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/01/76-6-Iniciativa-Convencional-Constituyente-del-cc-Harry-Jurgensen-y-otros.pdf,Iniciativa Convención Constitucional para consagrar el establecimiento del control de mérito en la propuesta de nueva constitución,Boletín 76-6,Control de mérito,Comisión sobre Sistemas de Justicia
