,doc_url,name,bulletin,topic,commission
12_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/742-Iniciativa-Convencional-Constituyente-del-cc-Ignacio-Achurra-sobre-Medios-de-Comunicacion-01-02.pdf,Iniciativa Convencional Constituyente de Sistema de medios públicos,Boletín 742-7,Medios públicos ,Comisión sobre Sistemas de Conocimientos
14_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/740-Iniciativa-Convencional-Constituyente-del-cc-Ignacio-Achurra-sobre-Ciudad-Verde-01-02.pdf,Iniciativa Convencional Constituyente de Ciudad verde e inclusiva,Boletín 740-5,Ciudad verde e inclusiva,Comisión sobre Medio Ambiente
16_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/738-Iniciativa-Convencional-Constituyente-del-cc-Ignacio-Achurra-sobre-Agencia-de-Proteccion-de-Datos-Personales-01-02.pdf,Iniciativa Convencional Constituyente de Agencia de protección de datos personales,Boletín 738-7,Protección de datos personales,Comisión sobre Sistemas de Conocimientos
18_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/736-Iniciativa-Convencional-Constituyente-del-cc-Eric-Chinga-sobre-Educacion-Plurinacional.pdf,Iniciativa Convencional Constituyente de derecho de educación Plurinacional e intercultural,Boletín 736-4,Derecho de educación Plurinacional e intercultural,Comisión de Derechos Fundamentales
20_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/734-Iniciativa-Convencional-Constituyente-del-cc-Eduardo-Castillo-sobre-Asamble-Ciudadana.pdf,Iniciativa Convencional Constituyente de Asamblea ciudadana,Boletín 734-1,Asamblea ciudadana,Comisión sobre Sistema Político
11_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/743-Iniciativa-Convencional-Constituyente-del-cc-Ignacio-Achurra-sobre-Trabajadores-de-las-Culturas-01-02.pdf,"Iniciativa Convencional Constituyente sobre trabajadores de las culturas, artes y patrimonio",Boletín 743-7,"Trabajadores de las culturas, artes y patrimonio",Comisión sobre Sistemas de Conocimientos
13_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/741-Iniciativa-Convencional-Constituyente-del-cc-Ignacio-Achurra-sobre-Espectro-Radioelectrico-01-02.pdf,"Iniciativa Convencional Constituyente sobre órgano convergente de las telecomunicaciones, el sector audiovisual y la comunicación social",Boletín 741-7,Telecomunicaciones,Comisión sobre Sistemas de Conocimientos
15_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/739-Iniciativa-Convencional-Constituyente-del-cc-Ignacio-Achurra-sobre-Ciencias-01-02.pdf,Iniciativa Convencional Constituyente de promoción de la ciencia y los conocimientos,Boletín 739-7,Promoción de la ciencia,Comisión sobre Sistemas de Conocimientos
17_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/737-Iniciativa-Convencional-Constituyente-del-cc-Francisco-Caamano-sobre-Economia-en-Territorios-Rurales.pdf,Iniciativa Convencional Constituyente de Territorios rurales,Boletín 737-5,Territorios rurales,Comisión sobre Medio Ambiente
19_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/735-Iniciativa-Convencional-Constituyente-del-cc-Eric-Chinga-sobre-Salud.pdf,Iniciativa Convencional Constituyente de Derecho a la salud integral,Boletín 735-4,Derecho a salud integral,Comisión de Derechos Fundamentales
22_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/732-Iniciativa-Convencional-Constituyente-del-cc-Bastian-Labbe-crea-el-Servicio-de-proteccion-de-bienes-comunes.pdf,Iniciativa Convencional Constituyente de fiscalización del sector forestal,Boletín 732-5,Sector forestal,Comisión sobre Medio Ambiente
24_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/730-Iniciativa-Convencional-Constituyente-del-cc-Adolfo-Millabur-sobre-Gobiernos-Locales.pdf,Iniciativa Convencional Constituyente de Gobiernos Locales,Boletín 730-3,Gobiernos Locales ,Comisión sobre Forma de Estado
26_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/728-Iniciativa-Convencional-Constituyente-del-cc-Ricardo-Neumann-sobre-Libertad-de-Asociacion.pdf,Iniciativa Convencional Constituyente de incorporación de la colaboración social como elemento de la Libertad de Asociación,Boletín 728-4,Libertad Asociación,Comisión de Derechos Fundamentales
28_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/726-Iniciativa-Convencional-Constituyente-de-la-cc-Valentina-Miranda-sobre-No-discriminacion-01-02.pdf,"Iniciativa Convencional Constituyente de derecho a la igualdad, no discriminación y no sometimiento",Boletín 726-4,"Igualdad, no discriminación y no sometimiento ",Comisión de Derechos Fundamentales
30_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/724-Iniciativa-Convencional-Constituyente-de-la-cc-Patricia-Politzer-sobre-Preambulo.pdf,Iniciativa Convencional Constituyente de Preámbulo,Boletín 724-2,Preámbulo,Comisión sobre Principios Constitucionales
21_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/733-Iniciativa-Convencional-Constituyente-del-cc-Bernardo-Fontaine-Consejo-de-Evaluacion-de-Politicas-Publicas-01-02.pdf,Iniciativa Convencional Constituyente que crea el Consejo Nacional de evaluación de políticas públicas,Boletín 733-6,Consejo Nacional de evaluación de políticas públicas,Comisión sobre Sistemas de Justicia
23_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/731-Iniciativa-Convencional-Constituyente-del-cc-Alfredo-Moreno-sobre-Garantia-de-los-DDFF.pdf,Iniciativa Convencional Constituyente de Recurso de amparo,Boletín 731-6,Recurso de amparo ,Comisión sobre Sistemas de Justicia
25_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/729-Iniciativa-Convencional-Constituyente-del-cc-Ruggero-Cozzi-sobre-Justicia-Constitucional-y-Administrativa.pdf,Iniciativa Convencional Constituyente de Jurisdicción Constitucional y Administrativa,Boletín 729-6,Jurisdicción Constitucional y Administrativa,Comisión sobre Sistemas de Justicia
27_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/727-Iniciativa-Convencional-Constituyente-del-cc-Eric-Chinga-sobre-Desarrollo-Sostenible.pdf,Iniciativa Convencional Constituyente de desarrollo sostenible,Boletín 727-2,Desarrollo sostenible ,Comisión sobre Principios Constitucionales
29_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/725-Iniciativa-Convencional-Constituyente-de-la-cc-Tatiana-Urrutia-sobre-Derecho-al-Asilo-01-02.pdf,Iniciativa Convencional Constituyente de derecho al asilo y principio de no devolución,Boletín 725-4,Asilo y no Devolución ,Comisión de Derechos Fundamentales
32_conv_conv,https://www.chileconvencion.cl/wp-content/uploads/2022/02/722-Iniciativa-Convencional-Constituyente-de-la-cc-Maria-Trinidad-Castillo-sobre-Principios-Economicos-01-02.pdf,Iniciativa Convencional Constituyente de Principios Económicos,Boletín 722-5,Principios Económicos,Comisión sobre Medio Ambiente
